Date,Close,Open,High,Low,Close(Nikkei JAPAN 1000D)
2018-04-25,2085.16,2075.42,2086.86,2071.97,2731.3
2018-04-24,2087.92,2079.96,2088.49,2072.15,2734.88
2018-04-23,2065.27,2066.54,2073.27,2063.24,2705.22
2018-04-20,2065.4,2063.1,2072.08,2058.7,2705.39
2018-04-19,2064.88,2071.99,2079.17,2063.58,2704.71
2018-04-18,2064.44,2046.05,2066.66,2045.33,2704.13
2018-04-17,2041.24,2044.37,2050.04,2037.55,2673.74
2018-04-16,2047.81,2042.61,2049.26,2039.6,2682.34
2018-04-13,2039.59,2039.46,2047.21,2034.92,2671.58
2018-04-12,2026.53,2032.09,2034.32,2025.34,2654.47
2018-04-11,2034.6,2045.86,2045.86,2034.6,2665.04
2018-04-10,2041.75,2028.08,2054.02,2024.77,2674.41
2018-04-09,2034.14,2023.0,2039.72,2022.33,2664.44
2018-04-06,2026.3,2032.14,2041.21,2026.3,2654.17
2018-04-05,2032.83,2026.78,2042.06,2018.54,2662.73
2018-04-04,2010.45,2013.53,2017.23,2003.44,2633.42
2018-04-03,2008.97,1994.48,2013.42,1990.21,2631.47
2018-04-02,2015.24,2025.6,2033.07,2015.24,2639.68
2018-03-30,2024.16,2024.55,2029.55,2015.51,2651.37
2018-03-29,2009.6,2020.8,2021.52,1992.14,2632.29
2018-03-28,2004.93,1988.38,2004.93,1979.06,2626.18
2018-03-27,2026.55,1990.63,2026.55,1990.26,2630.24
2018-03-26,1972.74,1950.83,1972.74,1941.75,2560.4
2018-03-23,1965.06,2001.75,2002.1,1960.91,2550.43
2018-03-22,2039.03,2021.86,2039.56,2021.71,2646.43
2018-03-20,2026.1,2016.87,2026.16,2010.36,2629.65
2018-03-19,2030.45,2040.42,2047.42,2023.45,2635.31
2018-03-16,2049.65,2060.1,2061.85,2046.42,2660.22
2018-03-15,2058.06,2048.54,2060.29,2039.29,2671.11
2018-03-14,2057.35,2052.53,2061.21,2051.41,2670.19
2018-03-13,2067.12,2049.37,2067.12,2044.61,2682.86
2018-03-12,2056.0,2055.13,2061.72,2046.33,2668.43
2018-03-09,2024.9,2038.9,2055.21,2016.24,2628.06
2018-03-08,2018.66,2028.76,2028.78,2012.93,2619.96
2018-03-07,2010.92,2016.45,2033.15,2010.51,2609.92
2018-03-06,2025.66,2028.81,2039.92,2023.76,2629.05
2018-03-05,2000.34,2001.97,2011.29,1991.49,2596.19
2018-03-02,2015.39,2021.06,2023.18,2007.14,2615.72
2018-03-01,2053.74,2067.42,2067.42,2048.12,2665.5
2018-02-28,2086.9,2108.31,2115.05,2086.9,2708.54
2018-02-27,2114.33,2114.37,2119.89,2108.53,2744.13
2018-02-26,2095.17,2092.76,2100.43,2088.09,2719.27
2018-02-23,2077.79,2065.39,2078.33,2062.88,2696.02
2018-02-22,2061.39,2065.81,2065.96,2051.83,2674.74
2018-02-21,2079.7,2082.46,2091.72,2069.61,2698.5
2018-02-20,2081.28,2087.53,2088.74,2070.21,2700.54
2018-02-19,2097.23,2070.14,2097.23,2068.44,2721.24
2018-02-16,2053.47,2042.83,2065.54,2040.3,2664.46
2018-02-15,2032.88,2031.92,2042.67,2025.38,2637.7
2018-02-14,2013.04,2033.69,2038.71,2000.33,2611.96
2018-02-13,2028.69,2061.48,2065.5,2025.72,2632.27
2018-02-09,2046.47,2048.54,2048.54,2019.64,2655.34
2018-02-08,2086.41,2076.86,2093.9,2070.99,2707.16
2018-02-07,2067.83,2097.99,2130.71,2067.35,2683.05
2018-02-06,2060.07,2113.25,2113.43,2017.08,2672.99
2018-02-05,2153.2,2172.54,2174.63,2150.51,2793.82
2018-02-02,2200.55,2201.65,2204.93,2183.12,2855.26
2018-02-01,2208.76,2181.49,2209.01,2181.07,2865.92
2018-01-31,2168.68,2184.57,2195.1,2168.68,2813.9
2018-01-30,2193.76,2217.87,2217.87,2187.81,2846.45
2018-01-29,2220.11,2219.61,2230.32,2217.62,2880.63
2018-01-26,2218.88,2230.36,2234.97,2218.26,2878.88
2018-01-25,2225.81,2228.55,2236.11,2223.94,2887.87
2018-01-24,2246.17,2251.65,2254.84,2243.17,2914.29
2018-01-23,2258.49,2244.78,2258.84,2243.75,2930.28
2018-01-22,2235.87,2233.13,2235.87,2227.2,2900.93
2018-01-19,2233.1,2228.14,2233.89,2224.23,2897.34
2018-01-18,2218.29,2251.92,2251.92,2215.61,2878.12
2018-01-17,2234.5,2225.91,2235.91,2224.54,2899.15
2018-01-16,2238.45,2225.38,2238.45,2223.57,2904.27
2018-01-15,2225.48,2231.75,2235.3,2224.31,2887.44
2018-01-12,2216.55,2227.25,2227.25,2212.55,2875.86
2018-01-11,2230.27,2223.47,2230.27,2218.08,2893.66
2018-01-10,2235.31,2232.39,2238.02,2230.82,2900.2
2018-01-09,2231.83,2238.19,2238.19,2224.92,2895.68
2018-01-05,2221.27,2211.4,2221.3,2208.78,2881.98
2018-01-04,2201.17,2174.0,2201.17,2173.51,2855.9
2017-12-29,2145.06,2150.4,2154.97,2144.49,2783.11
2017-12-28,2146.72,2158.13,2160.09,2143.65,2785.25
2017-12-27,2159.56,2155.5,2162.45,2155.5,2801.92
2017-12-26,2156.84,2162.63,2164.08,2155.68,2795.08
2017-12-25,2162.81,2160.86,2163.12,2156.57,2802.82
2017-12-22,2159.4,2154.59,2160.52,2152.45,2798.41
2017-12-21,2152.23,2149.82,2153.48,2142.59,2789.1
2017-12-20,2151.37,2144.97,2152.14,2143.48,2787.99
2017-12-19,2143.9,2150.49,2151.84,2143.33,2778.32
2017-12-18,2146.67,2134.46,2147.17,2132.19,2781.91
2017-12-15,2117.01,2126.96,2129.39,2110.09,2743.46
2017-12-14,2134.53,2135.26,2139.48,2128.79,2766.16
2017-12-13,2138.29,2145.9,2146.99,2132.71,2771.04
2017-12-12,2143.13,2142.76,2148.83,2138.3,2777.31
2017-12-11,2140.92,2135.36,2140.92,2126.05,2774.45
2017-12-08,2129.19,2113.21,2129.28,2113.21,2759.24
2017-12-07,2108.05,2096.96,2109.47,2096.96,2731.86
2017-12-06,2083.8,2104.94,2109.46,2079.07,2700.42
2017-12-05,2114.37,2103.66,2118.01,2099.08,2740.04
2017-12-04,2110.28,2126.38,2127.82,2109.01,2734.74
2017-12-01,2121.68,2129.14,2134.61,2110.95,2749.51
2017-11-30,2115.63,2109.62,2119.82,2100.69,2741.67
2017-11-29,2108.67,2106.76,2109.03,2103.77,2732.66
2017-11-28,2092.39,2097.36,2102.94,2087.0,2711.56
2017-11-27,2098.03,2110.93,2111.33,2094.39,2718.83
2017-11-24,2102.91,2089.9,2104.36,2087.37,2725.15
2017-11-22,2099.38,2105.28,2108.42,2098.19,2720.57
2017-11-21,2092.11,2091.75,2101.0,2090.37,2711.15
2017-11-20,2078.41,2075.09,2084.08,2072.76,2693.4
2017-11-17,2084.78,2101.04,2107.0,2078.68,2701.65
2017-11-16,2082.11,2055.89,2090.24,2055.39,2698.19
2017-11-15,2061.37,2088.42,2088.88,2057.14,2671.31
2017-11-14,2101.5,2102.43,2110.84,2098.7,2723.31
2017-11-13,2106.32,2121.89,2123.84,2106.32,2729.56
2017-11-10,2126.96,2124.39,2131.02,2114.46,2756.29
2017-11-09,2142.49,2154.21,2179.38,2116.71,2776.42
2017-11-08,2147.82,2137.74,2147.82,2132.15,2783.33
2017-11-07,2143.22,2115.38,2143.34,2115.15,2777.36
2017-11-06,2117.95,2124.14,2125.87,2108.4,2744.62
2017-11-02,2119.4,2117.69,2119.43,2106.57,2746.5
2017-11-01,2110.19,2095.7,2112.89,2094.82,2734.55
2017-10-31,2084.62,2081.04,2087.3,2076.23,2701.43
2017-10-30,2090.78,2090.76,2092.88,2081.57,2709.4
2017-10-27,2091.24,2080.24,2091.82,2075.94,2710.0
2017-10-26,2070.77,2065.07,2073.6,2065.07,2683.42
2017-10-25,2068.2,2081.35,2083.96,2062.95,2680.08
2017-10-24,2074.69,2058.96,2074.69,2058.96,2688.5
2017-10-23,2061.19,2064.12,2064.12,2057.15,2671.0
2017-10-20,2044.01,2035.77,2045.9,2035.77,2648.73
2017-10-19,2043.27,2043.81,2047.45,2038.33,2647.78
2017-10-18,2036.3,2035.53,2038.4,2031.9,2638.74
2017-10-17,2034.38,2038.53,2040.75,2027.18,2636.26
2017-10-16,2028.96,2021.15,2034.74,2019.88,2629.23
2017-10-13,2016.42,2003.53,2021.93,2000.26,2612.98
2017-10-12,2005.91,2009.07,2010.21,2004.38,2599.36
2017-10-11,2002.07,1999.08,2002.69,1995.25,2594.38
2017-10-10,1999.84,1986.8,1999.84,1986.8,2591.5
2017-10-06,1990.38,1991.21,1994.11,1986.96,2579.24
2017-10-05,1984.66,1988.4,1989.35,1982.76,2571.82
2017-10-04,1986.57,1989.57,1991.84,1983.06,2574.31
2017-10-03,1986.19,1981.38,1986.54,1976.09,2573.81
2017-10-02,1973.09,1977.78,1977.78,1969.98,2556.84
2017-09-29,1974.45,1972.94,1974.96,1967.36,2558.59
2017-09-28,1975.93,1973.91,1976.69,1966.74,2560.52
2017-09-27,1962.11,1962.51,1962.99,1955.9,2542.6
2017-09-26,1972.28,1970.91,1974.7,1968.63,2536.2
2017-09-25,1973.0,1974.5,1977.29,1970.23,2537.13
2017-09-22,1963.72,1970.39,1974.1,1958.46,2525.19
2017-09-21,1968.22,1981.5,1981.5,1967.83,2530.98
2017-09-20,1967.51,1965.0,1971.74,1964.28,2530.07
2017-09-19,1967.47,1952.52,1968.69,1952.11,2530.02
2017-09-15,1932.57,1921.54,1935.15,1921.54,2485.14
2017-09-14,1924.85,1930.33,1937.05,1923.74,2475.17
2017-09-13,1930.88,1929.82,1933.46,1927.75,2482.91
2017-09-12,1919.24,1917.39,1922.34,1915.98,2467.95
2017-09-11,1901.0,1895.66,1907.76,1895.3,2444.5
2017-09-08,1878.77,1881.81,1885.57,1875.1,2415.91
2017-09-07,1884.73,1884.99,1893.79,1881.1,2423.57
2017-09-06,1877.71,1865.81,1879.5,1863.09,2414.55
2017-09-05,1876.39,1892.56,1892.56,1874.26,2412.84
2017-09-04,1890.75,1903.02,1904.51,1888.12,2431.31
2017-09-01,1909.32,1913.61,1913.61,1901.65,2455.19
2017-08-31,1906.66,1903.21,1910.34,1903.21,2451.77
2017-08-30,1895.07,1891.28,1899.91,1887.68,2436.86
2017-08-29,1883.44,1875.07,1884.67,1874.29,2421.91
2017-08-28,1886.75,1887.71,1890.3,1881.24,2425.57
2017-08-25,1883.51,1880.07,1888.12,1879.41,2421.41
2017-08-24,1877.73,1884.73,1888.36,1877.73,2413.98
2017-08-23,1887.35,1899.96,1899.96,1885.68,2426.34
2017-08-22,1882.61,1881.06,1886.71,1879.28,2420.25
2017-08-21,1881.43,1887.8,1887.8,1878.05,2418.73
2017-08-18,1884.67,1882.93,1888.47,1879.5,2422.9
2017-08-17,1905.43,1905.94,1909.31,1902.71,2449.59
2017-08-16,1907.02,1906.71,1910.78,1905.03,2451.63
2017-08-15,1907.56,1901.34,1914.91,1900.63,2452.29
2017-08-14,1887.2,1890.15,1896.82,1884.6,2426.11
2017-08-10,1907.84,1910.67,1915.45,1902.39,2452.65
2017-08-09,1908.54,1924.03,1924.77,1900.26,2453.54
2017-08-08,1929.04,1935.74,1936.74,1925.21,2479.9
2017-08-07,1933.93,1935.11,1937.7,1931.75,2486.18
2017-08-04,1924.25,1922.13,1926.58,1919.51,2473.74
2017-08-03,1927.68,1928.84,1929.37,1920.73,2478.15
2017-08-02,1928.68,1929.76,1933.77,1922.72,2479.44
2017-08-01,1921.83,1909.69,1922.03,1909.69,2470.63
2017-07-31,1909.56,1909.86,1916.6,1907.18,2454.85
2017-07-28,1912.42,1916.4,1917.28,1908.37,2458.53
2017-07-27,1919.41,1912.69,1930.53,1910.68,2467.51
2017-07-26,1912.56,1918.97,1921.03,1908.76,2458.56
2017-07-25,1907.61,1911.6,1916.24,1907.57,2452.2
2017-07-24,1912.66,1909.97,1915.56,1903.67,2458.69
2017-07-21,1923.43,1923.25,1925.58,1921.41,2472.53
2017-07-20,1927.41,1916.58,1929.74,1915.27,2477.65
2017-07-19,1914.3,1909.0,1916.31,1906.91,2460.79
2017-07-18,1912.91,1913.92,1914.31,1901.79,2459.01
2017-07-14,1919.2,1919.06,1922.97,1915.07,2467.09
2017-07-13,1911.82,1918.89,1919.85,1908.52,2457.61
2017-07-12,1912.21,1916.43,1917.28,1909.56,2458.1
2017-07-11,1921.44,1907.4,1922.12,1907.4,2469.97
2017-07-10,1907.68,1908.56,1912.88,1903.05,2452.29
2017-07-07,1897.66,1894.2,1906.32,1894.2,2439.41
2017-07-06,1907.33,1910.44,1911.67,1902.95,2451.83
2017-07-05,1911.31,1900.35,1911.45,1892.36,2456.94
2017-07-04,1900.94,1919.92,1919.92,1896.03,2443.61
2017-07-03,1906.3,1903.51,1909.16,1902.11,2450.5
2017-06-30,1903.4,1901.99,1904.23,1895.38,2446.78
2017-06-29,1918.0,1921.4,1921.67,1914.32,2465.55
2017-06-28,1906.62,1908.13,1916.5,1905.27,2450.92
2017-06-27,1911.72,1912.36,1913.36,1908.17,2454.71
2017-06-26,1903.76,1903.05,1907.84,1902.18,2444.48
2017-06-23,1902.78,1902.02,1904.73,1898.56,2443.23
2017-06-22,1901.42,1904.38,1908.46,1901.42,2441.48
2017-06-21,1902.89,1906.73,1909.36,1899.54,2443.37
2017-06-20,1909.48,1912.21,1918.43,1909.48,2451.84
2017-06-19,1896.04,1886.82,1897.67,1884.46,2434.57
2017-06-16,1884.29,1884.86,1891.85,1879.19,2419.49
2017-06-15,1874.94,1873.58,1886.79,1867.4,2407.47
2017-06-14,1879.73,1888.37,1891.1,1879.73,2413.62
2017-06-13,1881.45,1876.26,1885.7,1876.26,2415.83
2017-06-12,1879.66,1877.25,1884.53,1873.74,2413.53
2017-06-09,1880.28,1877.53,1887.63,1872.59,2414.33
2017-06-08,1878.79,1893.05,1893.93,1878.17,2412.42
2017-06-07,1886.82,1883.1,1889.75,1880.12,2422.73
2017-06-06,1886.41,1897.85,1900.64,1884.75,2422.2
2017-06-05,1902.34,1897.05,1905.81,1894.21,2442.66
2017-06-02,1905.05,1883.92,1906.29,1883.41,2446.13
2017-06-01,1873.96,1855.48,1875.64,1855.48,2406.22
2017-05-31,1852.91,1852.66,1856.33,1849.22,2379.19
2017-05-30,1858.0,1855.02,1858.84,1846.62,2385.72
2017-05-29,1855.4,1854.91,1861.24,1851.17,2382.39
2017-05-26,1854.43,1863.76,1863.76,1854.38,2381.09
2017-05-25,1864.9,1859.62,1869.04,1857.81,2394.52
2017-05-24,1860.82,1864.87,1864.87,1856.32,2389.29
2017-05-23,1849.46,1851.44,1855.47,1847.46,2374.71
2017-05-22,1852.86,1850.34,1854.42,1846.56,2379.06
2017-05-19,1843.71,1841.32,1846.55,1832.27,2367.31
2017-05-18,1838.22,1840.02,1842.87,1830.11,2360.27
2017-05-17,1863.08,1864.83,1865.31,1859.57,2392.18
2017-05-16,1873.31,1877.26,1881.07,1868.98,2405.31
2017-05-15,1868.25,1859.4,1868.25,1858.77,2398.82
2017-05-12,1869.49,1872.57,1874.16,1862.14,2400.41
2017-05-11,1876.63,1877.71,1878.73,1870.63,2409.58
2017-05-10,1874.6,1873.89,1877.66,1870.97,2406.96
2017-05-09,1870.61,1876.58,1876.62,1868.81,2401.84
2017-05-08,1875.84,1856.63,1877.43,1856.63,2408.53
2017-05-02,1833.99,1825.22,1836.87,1825.22,2354.8
2017-05-01,1821.55,1810.86,1821.8,1810.48,2338.83
2017-04-28,1811.9,1818.69,1819.85,1808.38,2326.44
2017-04-27,1817.98,1812.86,1819.87,1812.03,2334.25
2017-04-26,1819.17,1807.9,1819.17,1807.28,2335.78
2017-04-25,1797.07,1778.42,1799.88,1778.42,2307.37
2017-04-24,1777.98,1782.91,1782.91,1775.25,2282.86
2017-04-21,1760.42,1756.59,1763.46,1753.83,2260.31
2017-04-20,1741.77,1741.0,1750.77,1741.0,2236.37
2017-04-19,1740.27,1733.21,1744.72,1733.21,2234.44
2017-04-18,1740.21,1747.7,1751.07,1736.73,2234.36
2017-04-17,1733.36,1719.39,1733.77,1718.78,2225.57
2017-04-14,1726.23,1731.12,1733.78,1723.0,2216.42
2017-04-13,1737.0,1734.09,1740.11,1725.86,2230.24
2017-04-12,1750.23,1753.74,1754.48,1741.98,2247.23
2017-04-11,1768.53,1765.92,1770.2,1760.99,2270.73
2017-04-10,1773.77,1775.17,1778.75,1769.94,2277.46
2017-04-07,1762.52,1763.38,1772.29,1750.06,2263.02
2017-04-06,1751.51,1771.73,1774.05,1747.38,2248.88
2017-04-05,1780.13,1785.39,1790.35,1772.05,2285.62
2017-04-04,1779.74,1788.46,1790.39,1769.91,2285.12
2017-04-03,1794.1,1796.58,1801.78,1788.55,2303.56
2017-03-31,1788.73,1817.7,1820.41,1788.73,2296.67
2017-03-30,1805.9,1817.06,1821.76,1805.0,2318.7
2017-03-29,1822.77,1823.77,1826.73,1818.74,2340.37
2017-03-28,1825.96,1818.39,1825.96,1816.66,2323.79
2017-03-27,1801.93,1809.49,1810.25,1796.55,2293.21
2017-03-24,1825.23,1808.88,1829.35,1808.62,2322.86
2017-03-23,1809.06,1806.42,1810.56,1800.75,2302.28
2017-03-22,1808.87,1821.13,1822.06,1808.87,2302.04
2017-03-21,1848.76,1845.13,1851.73,1840.57,2352.8
2017-03-17,1851.99,1851.81,1854.14,1849.7,2356.91
2017-03-16,1860.54,1849.06,1862.5,1847.36,2367.79
2017-03-15,1858.97,1856.92,1859.89,1852.25,2365.8
2017-03-14,1862.92,1865.18,1865.33,1861.89,2370.78
2017-03-13,1866.0,1857.07,1867.2,1856.33,2374.69
2017-03-10,1861.84,1853.05,1862.76,1851.26,2369.4
2017-03-09,1838.73,1839.88,1840.17,1833.73,2339.99
2017-03-08,1833.24,1837.15,1838.1,1827.25,2333.0
2017-03-07,1839.47,1836.96,1841.45,1836.64,2340.94
2017-03-06,1839.39,1837.78,1842.4,1833.83,2340.83
2017-03-03,1843.37,1848.5,1851.87,1836.29,2345.9
2017-03-02,1851.37,1858.63,1863.76,1851.32,2356.07
2017-03-01,1837.51,1825.11,1838.6,1819.39,2338.44
2017-02-28,1815.97,1824.43,1832.51,1815.97,2311.02
2017-02-27,1814.61,1818.02,1821.27,1804.22,2309.3
2017-02-24,1833.98,1830.21,1843.89,1830.21,2333.95
2017-02-23,1841.53,1840.49,1841.53,1830.97,2342.91
2017-02-22,1842.63,1844.36,1844.72,1837.95,2344.31
2017-02-21,1840.86,1831.2,1841.26,1831.02,2342.07
2017-02-20,1830.51,1821.29,1831.78,1817.59,2328.9
2017-02-17,1827.75,1826.56,1830.04,1820.38,2325.38
2017-02-16,1835.83,1839.49,1841.3,1827.35,2335.19
2017-02-15,1838.99,1839.09,1844.16,1838.04,2339.17
2017-02-14,1821.38,1844.58,1845.05,1821.24,2316.78
2017-02-13,1839.3,1844.55,1844.55,1835.78,2339.57
2017-02-10,1830.35,1816.04,1831.51,1815.46,2328.19
2017-02-09,1790.79,1795.32,1798.77,1788.02,2277.86
2017-02-08,1803.75,1797.83,1804.01,1792.14,2294.35
2017-02-07,1794.24,1786.51,1800.26,1785.96,2282.26
2017-02-06,1799.42,1808.92,1810.43,1793.46,2288.85
2017-02-03,1792.94,1794.19,1803.08,1787.3,2280.6
2017-02-02,1787.33,1810.17,1811.18,1783.74,2273.47
2017-02-01,1807.84,1785.82,1808.36,1784.7,2299.56
2017-01-31,1800.56,1807.67,1814.01,1800.56,2290.29
2017-01-30,1827.38,1825.19,1827.66,1818.3,2324.41
2017-01-27,1834.21,1836.69,1838.87,1831.15,2333.1
2017-01-26,1829.25,1818.16,1830.24,1817.37,2326.65
2017-01-25,1800.66,1808.78,1809.27,1795.08,2290.29
2017-01-24,1782.08,1788.22,1791.35,1779.96,2266.46
2017-01-23,1792.24,1795.97,1802.68,1790.53,2279.38
2017-01-20,1814.93,1807.24,1819.8,1806.3,2308.23
2017-01-19,1808.58,1810.96,1815.54,1800.34,2300.16
2017-01-18,1791.45,1779.1,1794.3,1768.99,2278.37
2017-01-17,1785.72,1803.8,1804.53,1785.72,2271.08
2017-01-16,1811.35,1823.65,1826.87,1808.05,2303.67
2017-01-13,1828.5,1814.91,1829.26,1814.84,2325.49
2017-01-12,1816.95,1828.41,1828.86,1808.93,2310.79
2017-01-11,1834.96,1832.58,1837.07,1829.59,2333.7
2017-01-10,1825.02,1833.39,1842.75,1822.73,2321.07
2017-01-06,1838.25,1825.68,1839.89,1825.62,2337.88
2017-01-05,1841.48,1843.94,1844.46,1835.51,2342.0
2017-01-04,1839.94,1814.42,1840.28,1814.42,2340.04
2016-12-30,1797.26,1786.17,1800.67,1785.11,2285.76
2016-12-29,1797.12,1808.96,1809.71,1791.18,2285.58
2016-12-28,1819.16,1818.42,1823.2,1815.33,2313.6
2016-12-26,1820.61,1823.75,1825.12,1820.33,2312.52
2016-12-22,1827.47,1825.73,1827.47,1818.28,2321.23
2016-12-21,1828.86,1841.46,1845.09,1824.85,2322.99
2016-12-20,1837.39,1829.6,1838.52,1827.98,2333.83
2016-12-19,1833.57,1831.86,1834.33,1826.33,2328.98
2016-12-16,1835.34,1839.28,1839.28,1830.96,2331.23
2016-12-15,1825.96,1826.8,1837.96,1819.09,2319.31
2016-12-14,1821.08,1823.79,1825.02,1818.0,2313.11
2016-12-13,1822.84,1806.84,1822.86,1802.73,2315.35
2016-12-12,1812.55,1819.96,1826.47,1799.92,2302.28
2016-12-09,1805.15,1790.88,1806.97,1788.71,2292.88
2016-12-08,1789.71,1780.38,1789.71,1775.14,2273.27
2016-12-07,1763.04,1754.91,1763.04,1752.09,2239.39
2016-12-06,1747.01,1752.06,1753.89,1741.87,2219.03
2016-12-05,1734.75,1737.06,1741.24,1729.24,2203.46
2016-12-02,1748.04,1750.58,1755.73,1740.34,2220.34
2016-12-01,1754.41,1755.83,1772.79,1749.08,2228.43
2016-11-30,1737.76,1739.97,1742.3,1733.81,2207.28
2016-11-29,1737.0,1731.27,1738.38,1730.76,2206.32
2016-11-28,1738.44,1724.49,1740.21,1723.93,2208.15
2016-11-25,1733.12,1733.2,1742.6,1723.41,2201.34
2016-11-24,1727.53,1727.34,1731.28,1725.8,2194.25
2016-11-22,1712.41,1705.69,1713.32,1703.4,2175.04
2016-11-21,1707.15,1698.69,1708.51,1695.43,2168.35
2016-11-18,1690.2,1698.35,1698.62,1690.2,2146.82
2016-11-17,1684.01,1673.24,1684.01,1672.51,2138.96
2016-11-16,1682.41,1675.45,1683.34,1674.71,2136.94
2016-11-15,1659.99,1659.95,1662.87,1650.35,2108.46
2016-11-14,1656.29,1639.61,1658.22,1639.58,2103.75
2016-11-11,1630.65,1638.99,1653.19,1625.81,2071.19
2016-11-10,1627.79,1567.79,1631.1,1567.65,2067.54
2016-11-09,1537.83,1622.89,1633.32,1521.87,1953.28
2016-11-08,1612.23,1615.28,1618.14,1608.38,2047.78
2016-11-07,1611.13,1611.99,1616.02,1603.25,2046.39
2016-11-04,1592.15,1599.76,1602.03,1581.11,2022.27
2016-11-02,1617.81,1625.05,1628.41,1611.51,2054.87
2016-11-01,1647.0,1645.41,1648.58,1637.0,2091.94
2016-10-31,1647.14,1641.33,1647.62,1637.85,2092.12
2016-10-28,1646.11,1643.21,1646.56,1639.61,2090.81
2016-10-27,1633.75,1631.3,1640.56,1628.86,2075.12
2016-10-26,1634.82,1626.14,1634.89,1623.38,2076.41
2016-10-25,1628.9,1624.03,1630.58,1624.03,2068.89
2016-10-24,1617.11,1615.93,1618.29,1609.85,2053.93
2016-10-21,1614.3,1622.17,1623.71,1611.84,2050.35
2016-10-20,1620.85,1604.07,1620.85,1603.41,2058.68
2016-10-19,1604.72,1603.07,1606.99,1600.39,2038.18
2016-10-18,1604.12,1598.16,1604.16,1593.35,2037.43
2016-10-17,1599.23,1593.5,1602.04,1590.04,2031.21
2016-10-14,1592.88,1585.81,1594.06,1582.11,2023.14
2016-10-13,1587.1,1595.15,1601.29,1581.31,2015.81
2016-10-12,1587.47,1587.87,1599.17,1587.41,2016.27
2016-10-11,1604.03,1601.56,1611.12,1600.42,2037.31
2016-10-07,1597.08,1599.24,1600.58,1591.47,2028.48
2016-10-06,1601.0,1601.27,1608.32,1600.0,2033.46
2016-10-05,1593.63,1588.86,1596.03,1585.23,2024.1
2016-10-04,1584.48,1576.07,1585.37,1576.07,2012.48
2016-10-03,1573.16,1572.26,1581.87,1571.56,1998.1
2016-09-30,1563.46,1563.28,1570.19,1555.4,1985.78
2016-09-29,1588.11,1582.91,1593.71,1581.57,2017.08
2016-09-28,1573.09,1578.11,1580.64,1565.77,1998.01
2016-09-27,1595.37,1562.46,1595.37,1553.37,2009.79
2016-09-26,1579.69,1592.76,1592.82,1577.07,1990.03
2016-09-23,1596.2,1592.06,1598.14,1587.7,2010.84
2016-09-21,1600.47,1559.23,1600.57,1549.3,2016.22
2016-09-20,1558.18,1545.39,1566.36,1545.39,1962.94
2016-09-16,1551.81,1543.17,1553.31,1541.22,1954.92
2016-09-15,1539.53,1545.41,1547.09,1534.19,1939.45
2016-09-14,1555.75,1556.32,1562.95,1553.72,1959.86
2016-09-13,1565.65,1572.45,1574.49,1559.31,1972.34
2016-09-12,1565.56,1568.59,1573.33,1558.09,1972.23
2016-09-09,1590.61,1595.6,1597.36,1586.72,2003.78
2016-09-08,1593.05,1592.0,1595.98,1582.93,2006.86
2016-09-07,1597.43,1587.04,1597.86,1585.28,2012.37
2016-09-06,1601.44,1591.76,1602.74,1591.76,2017.43
2016-09-05,1591.53,1607.59,1607.59,1590.15,2004.94
2016-09-02,1587.81,1582.36,1588.66,1580.49,2000.26
2016-09-01,1583.81,1575.75,1585.1,1572.88,1995.21
2016-08-31,1574.67,1567.67,1576.58,1566.72,1983.7
2016-08-30,1554.61,1551.39,1557.83,1549.27,1958.43
2016-08-29,1554.82,1549.29,1558.5,1548.19,1958.69
2016-08-26,1524.26,1537.04,1537.04,1524.26,1919.63
2016-08-25,1543.91,1546.35,1547.67,1540.87,1944.38
2016-08-24,1546.92,1544.69,1551.24,1542.09,1948.17
2016-08-23,1536.01,1539.13,1547.9,1530.37,1934.43
2016-08-22,1543.44,1540.95,1544.68,1535.07,1943.79
2016-08-19,1534.11,1533.25,1538.93,1525.83,1932.03
