"","Date","Close"
"1",2018-05-31,702.72
"2",2018-04-30,688.68
"3",2018-03-31,666.9
"4",2018-02-28,679.55
"5",2018-01-31,704.5
"6",2017-12-31,694.98
"7",2017-11-30,683.86
"8",2017-10-31,672.34
"9",2017-09-30,638.54
"10",2017-08-31,612.42
"11",2017-07-31,611.54
"12",2017-06-30,608.67
"13",2017-05-31,592.05
"14",2017-04-30,577.46
"15",2017-03-31,571.25
"16",2017-02-28,572.86
"17",2017-01-31,566.3
"18",2016-12-31,564.9
"19",2016-11-30,545.02
"20",2016-10-31,519.05
"21",2016-09-30,493.94
"22",2016-08-31,490.53
"23",2016-07-31,490.54
"24",2016-06-30,463.7
"25",2016-05-31,510.71
"26",2016-04-30,495.9
"27",2016-03-31,499.34
"28",2016-02-29,474.8
"29",2016-01-31,522.03
"30",2015-12-31,562
"31",2015-11-30,572.91
"32",2015-10-31,562.78
"33",2015-09-30,511.8
"34",2015-08-31,551.62
"35",2015-07-31,595.47
"36",2015-06-30,582.86
"37",2015-05-31,595.16
"38",2015-04-30,567.48
"39",2015-03-31,551.53
"40",2015-02-28,539.66
"41",2015-01-31,503.12
"42",2014-12-31,499.13
"43",2014-11-30,498.73
"44",2014-10-31,472.37
"45",2014-09-30,470.8
"46",2014-08-31,451.59
"47",2014-07-31,455.25
"48",2014-06-30,445.27
"49",2014-05-31,422.89
"50",2014-04-30,409.21
"51",2014-03-31,423.34
"52",2014-02-28,423.12
"53",2014-01-31,426.4
"54",2013-12-31,451.84
"55",2013-11-30,436.34
"56",2013-10-31,414.55
"57",2013-09-30,414.51
"58",2013-08-31,380.49
"59",2013-07-31,389.8
"60",2013-06-30,388.68
"61",2013-05-31,390.27
"62",2013-04-30,399.81
"63",2013-03-31,355.09
"64",2013-02-28,331.04
"65",2013-01-31,318.5
"66",2012-12-31,290.92
"67",2012-11-30,265.56
"68",2012-10-31,252.79
"69",2012-09-30,251.38
"70",2012-08-31,247.37
"71",2012-07-31,248.13
"72",2012-06-30,258.67
"73",2012-05-31,241.9
"74",2012-04-30,269.73
"75",2012-03-31,285.25
"76",2012-02-29,275.63
"77",2012-01-31,250.11
"78",2011-12-31,241.87
"79",2011-11-30,240.87
"80",2011-10-31,252.22
"81",2011-09-30,251.79
"82",2011-08-31,251.73
"83",2011-07-31,273.2
"84",2011-06-30,275.69
"85",2011-05-31,271.88
"86",2011-04-30,275.54
"87",2011-03-31,280.47
"88",2011-02-28,302.37
"89",2011-01-31,289.3
"90",2010-12-31,285.17
"91",2010-11-30,273.03
"92",2010-10-31,257.09
"93",2010-09-30,263.66
"94",2010-08-31,254
"95",2010-07-31,267.99
"96",2010-06-30,265.99
"97",2010-05-31,277.04
"98",2010-04-30,309.97
"99",2010-03-31,306.44
"100",2010-02-28,277.92
"101",2010-01-31,280.2
